partner,co2_tonnes_2017,co2_tonnes_2022,delta
CAN,236293.7100817925,280304.7460844107,44011.0360026182
CHN,3260105.41000629,3306784.148594784,46678.73858849425
DEU,587036.3314145317,698124.1068027661,111087.77538823441
JPN,731958.538308982,851485.7462856349,119527.20797665289
MEX,491324.6724365677,656204.0180686164,164879.34563204867
MYS,365042.6213764287,535255.3144701706,170212.69309374195
KOR,489722.1683531383,720235.2694224427,230513.10106930434
THA,294474.8563544668,559107.0336845603,264632.1773300935
VNM,181838.94046794192,669927.732786928,488088.79231898603
